date	param-Batch Sizes	value	success	cilo	cihi	units	complete
2014-05-14T16:24:36Z	1	2572.1394	true	-157691.410	162835.688	ms	"2226.357 2234.282 2245.824 2287.512 3866.722"
2014-05-14T16:24:36Z	10	1464.3852000000002	true	-8183.979	11112.750	ms	"1421.46 1461.066 1532.895 1433.179 1473.326"
2014-05-14T16:24:36Z	100	1469.5956	true	-20111.569	23050.760	ms	"1519.047 1532.458 1547.355 1313.236 1435.882"
2014-05-14T16:24:36Z	1000	1945.4184	true	-16064.354	19955.191	ms	"1875.77 2030.753 2036.757 1880.057 1903.755"
2014-05-14T16:24:36Z	5000	2405.127	true	-216506.210	221316.464	ms	"1751.379 2199.831 2442.34 1570.197 4061.888"
2014-05-14T16:24:36Z	1	2211.7822	true	-19784.885	24208.450	ms	"2177.056 2302.335 2332.133 2116.703 2130.684"
2014-05-14T16:24:36Z	10	1662.8942000000002	true	-57067.802	60393.591	ms	"1484.019 1665.906 1911.394 1322.239 1930.913"
2014-05-14T16:24:36Z	100	1605.5514	true	-17243.799	20454.901	ms	"1615.536 1670.688 1703.174 1508.751 1529.608"
2014-05-14T16:24:36Z	1000	2220.4305999999997	true	-40315.632	44756.494	ms	"2133.407 2337.317 2491.585 2008.01 2131.834"
2014-05-14T16:24:36Z	5000	4014.3316	true	-807926.042	815954.705	ms	"2180.618 2385.739 2409.192 2523.303 10572.806"
2014-05-14T16:24:36Z	1	2278.5408	true	-51867.754	56424.836	ms	"2115.717 2374.223 2657.643 2047.259 2197.862"
2014-05-14T16:24:36Z	10	1938.4743999999998	true	-32297.663	36174.612	ms	"1915.456 2042.61 2071.592 1683.605 1979.109"
2014-05-14T16:24:36Z	100	1749.6914000000002	true	-47349.750	50849.133	ms	"1818.696 1923.367 1946.534 1414.652 1645.208"
2014-05-14T16:24:36Z	1000	2592.8072	true	-88632.839	93818.454	ms	"2852.083 2900.493 2926.916 2139.082 2145.462"
2014-05-14T16:24:36Z	5000	5987.328200000001	true	-1431603.773	1443578.429	ms	"3086.322 3227.559 3281.551 2741.201 17600.008"
2014-05-14T16:24:36Z	1	2156.674	true	-30712.591	35025.939	ms	"1965.739 2157.475 2167.219 2113.201 2379.736"
2014-05-14T16:24:36Z	10	2106.6662	true	-97005.532	101218.864	ms	"1950.341 2302.338 2750.754 1551.69 1978.208"
2014-05-14T16:24:36Z	100	2003.1865999999998	true	-34879.670	38886.043	ms	"2013.769 2117.426 2209.373 1820.153 1855.212"
2014-05-14T16:24:36Z	1000	2857.004	true	-66842.450	72556.458	ms	"2952.041 3088.663 3163.773 2400.242 2680.301"
2014-05-14T16:24:36Z	5000	10319.6476	true	-3035544.718	3056184.013	ms	"3336.362 3836.35 3930.877 5605.525 34889.124"
2014-05-14T16:24:36Z	1	2296.178	true	-62498.209	67090.565	ms	"2075.822 2275.768 2313.614 2041.387 2774.299"
2014-05-14T16:24:36Z	10	2170.5818000000004	true	-64772.551	69113.715	ms	"2324.005 2366.828 2455.026 1748.886 1958.164"
2014-05-14T16:24:36Z	100	2301.0922	true	-92047.328	96649.513	ms	"2400.755 2612.249 2777.219 1853.166 1862.072"
2014-05-14T16:24:36Z	1000	3456.906	true	-154007.103	160920.915	ms	"3768.652 3995.239 4128.959 2578.712 2812.968"
2014-05-14T16:24:36Z	5000	14518.541599999997	true	-3599884.042	3628921.126	ms	"5387.92 18961.197 41329.359 3311.393 3602.839"
