date	param-Batch Sizes	value	success	cilo	cihi	units	complete
2014-05-14T16:24:36Z	1	6197.222	true	-46988.295	59382.739	ms	"6276.817 6336.236 6353.574 5774.623 6244.86"
2014-05-14T16:24:36Z	10	1903.1581999999999	true	-22203.164	26009.480	ms	"1774.612 1968.81 2049.413 1831.904 1891.052"
2014-05-14T16:24:36Z	100	1222.1426	true	-15202.650	17646.935	ms	"1195.569 1290.072 1311.646 1148.535 1164.891"
2014-05-14T16:24:36Z	1000	1153.107	true	-7643.681	9949.895	ms	"1123.049 1183.735 1192.266 1100.423 1166.062"
2014-05-14T16:24:36Z	5000	1007.5696	true	-25936.205	27951.344	ms	"804.001 1033.834 1132.203 1023.294 1044.516"
2014-05-14T16:24:36Z	1	5250.783600000001	true	-43243.452	53745.019	ms	"5081.754 5097.358 5097.73 5447.142 5529.934"
2014-05-14T16:24:36Z	10	1636.7156	true	-18419.925	21693.356	ms	"1489.16 1630.838 1673.3 1657.238 1733.042"
2014-05-14T16:24:36Z	100	1272.048	true	-16351.324	18895.420	ms	"1166.644 1235.682 1266.473 1313.779 1377.662"
2014-05-14T16:24:36Z	1000	1113.8376	true	-15527.142	17754.817	ms	"1025.813 1079.621 1188.19 1078.55 1197.014"
2014-05-14T16:24:36Z	5000	978.2926	true	-14987.332	16943.917	ms	"889.532 968.413 999.176 948.696 1085.646"
2014-05-14T16:24:36Z	1	5145.6774000000005	true	-23759.627	34050.981	ms	"5055.672 5110.259 5128.172 5061.668 5372.616"
2014-05-14T16:24:36Z	10	1833.3843999999997	true	-67680.311	71347.079	ms	"1566.382 1590.317 1693.55 2029.039 2287.634"
2014-05-14T16:24:36Z	100	1261.759	true	-18780.036	21303.554	ms	"1186.205 1273.641 1408.155 1188.04 1252.754"
2014-05-14T16:24:36Z	1000	1060.0974	true	-36818.512	38938.707	ms	"800.773 980.176 1230.868 1135.376 1153.294"
2014-05-14T16:24:36Z	5000	1089.5256000000002	true	-11717.012	13896.063	ms	"1069.897 1074.865 1097.067 1024.234 1181.565"
2014-05-14T16:24:36Z	1	6156.1004	true	-206983.399	219295.599	ms	"5368.766 5516.779 5620.587 6653.03 7621.34"
2014-05-14T16:24:36Z	10	1803.3946	true	-52410.035	56016.824	ms	"1468.924 1708.922 1750.194 2036.65 2052.283"
2014-05-14T16:24:36Z	100	1305.8252	true	-14437.557	17049.207	ms	"1206.156 1286.539 1315.985 1316.007 1404.439"
2014-05-14T16:24:36Z	1000	932.0698	true	-20540.989	22405.129	ms	"768.28 919.311 977.777 995.28 999.701"
2014-05-14T16:24:36Z	5000	1071.7877999999998	true	-8461.152	10604.728	ms	"1035.801 1043.261 1048.969 1093.35 1137.558"
2014-05-14T16:24:36Z	1	5830.632799999999	true	-210076.561	221737.826	ms	"5095.51 5124.792 5153.361 6708.848 7070.653"
2014-05-14T16:24:36Z	10	1871.3914	true	-58027.136	61769.919	ms	"1592.324 1697.259 1751.508 2102.415 2213.451"
2014-05-14T16:24:36Z	100	1305.6463999999999	true	-20666.996	23278.289	ms	"1163.093 1268.482 1298.338 1389.798 1408.521"
2014-05-14T16:24:36Z	1000	1099.0444	true	-43102.918	45301.006	ms	"865.997 1161.784 1384.638 960.55 1122.253"
2014-05-14T16:24:36Z	5000	981.4338	true	-14099.033	16061.900	ms	"923.502 963.905 973.005 948.159 1098.598"
