date	param-Operations	value	success	cilo	cihi	units	complete
2014-05-16T21:12:01Z	100	54.676	true	-1734.164	1843.516	ms	"46.557 49.243 54.231 55.857 67.492"
2014-05-16T21:12:01Z	200	128.7394	true	-9155.933	9413.412	ms	"92.966 106.331 115.039 129.427 199.934"
2014-05-16T21:12:01Z	400	249.387	true	-11558.374	12057.148	ms	"173.355 263.951 319.231 229.743 260.655"
2014-05-16T21:12:01Z	800	380.3066	true	-8487.526	9248.139	ms	"352.06 358.738 361.68 379.394 449.661"
2014-05-16T21:12:01Z	1600	830.4666	true	-13080.520	14741.454	ms	"799.664 803.281 820.088 788.269 941.031"
2014-05-16T21:12:01Z	3200	1731.4131999999997	true	-31906.622	35369.448	ms	"1555.827 1638.649 1691.539 1841.58 1929.471"
2014-05-16T21:12:01Z	6400	3404.3238000000006	true	-45033.743	51842.391	ms	"3100.206 3284.361 3436.544 3541.608 3658.9"
2014-05-16T21:12:01Z	12800	8361.9076	true	-261304.407	278028.222	ms	"6613.108 8128.41 8442.108 8602.534 10023.378"
2014-05-16T21:12:01Z	25600	15538.6642	true	-252410.633	283487.961	ms	"13996.449 14684.652 15609.208 16551.3 16851.712"
2014-05-16T21:12:01Z	51200	30986.0944	true	-786667.985	848640.173	ms	"27886.276 28226.533 28814.21 34556.44 35447.013"
2014-05-16T21:12:01Z	102400	64672.0708	true	-1781998.310	1911342.451	ms	"58325.485 58900.391 59030.024 70785.793 76318.661"
