date	param-Operations	value	success	cilo	cihi	units	complete
2014-05-16T21:12:01Z	100	36.769999999999996	true	-1426.146	1499.686	ms	"26.438 34.339 38.87 41.46 42.743"
2014-05-16T21:12:01Z	200	62.376	true	-764.858	889.610	ms	"60.305 60.339 66.881 58.499 65.856"
2014-05-16T21:12:01Z	400	900.7610000000001	true	-167964.536	169766.058	ms	"95.575 1598.627 1605.76 93.327 1110.516"
2014-05-16T21:12:01Z	800	1383.4204	true	-365312.740	368079.581	ms	"169.723 174.681 176.11 3195.406 3201.182"
2014-05-16T21:12:01Z	1600	3686.308	true	-762623.357	769995.973	ms	"342.638 355.203 3375.483 6412.452 7945.764"
2014-05-16T21:12:01Z	3200	5226.3172	true	-1147250.232	1157702.866	ms	"675.554 3225.068 13811.756 2214.97 6204.238"
2014-05-16T21:12:01Z	6400	13544.9956	true	-1559474.195	1586564.186	ms	"12950.523 14432.345 24987.06 6929.269 8425.781"
2014-05-16T21:12:01Z	12800	15890.492800000002	true	-907396.845	939177.831	ms	"11249.538 17838.387 21788.386 12813.185 15762.968"
2014-05-16T21:12:01Z	25600	22513.0684	true	-388200.954	433227.090	ms	"19925.27 22090.028 25099.202 22481.079 22969.763"
2014-05-16T21:12:01Z	51200	59381.6998	true	-3925589.765	4044353.165	ms	"43705.025 50454.605 61501.649 51730.387 89516.833"
2014-05-16T21:12:01Z	102400	113906.4774	true	-2479951.960	2707764.915	ms	"104752.501 107376.488 110524.181 112722.389 134156.828"
