date	param-Operations	value	success	cilo	cihi	units	complete
2014-05-16T08:46:02Z	100	249.678	true	-9192796588.850	9192797088.206	ms	"248.234 251.122"
2014-05-16T08:46:02Z	200	452.658	true	-157811800676.334	157811801581.650	ms	"427.869 477.447"
2014-05-16T08:46:02Z	400	549.0785	true	-590404829924.247	590404831022.404	ms	"456.338 641.819"
2014-05-16T10:15:48Z	100	94.62299999999999	true	-39916091441.090	39916091630.336	ms	"88.353 100.893"
2014-05-16T10:15:48Z	200	176.942	true	-532112694387.811	532112694741.695	ms	"93.358 260.526"
2014-05-16T10:15:48Z	400	164.2645	true	-37538314626.857	37538314955.386	ms	"158.368 170.161"
2014-05-16T10:15:48Z	800	301.713	true	-49032493638.966	49032494242.392	ms	"294.011 309.415"
2014-05-16T10:15:48Z	1600	588.173	true	-56837457981.339	56837459157.685	ms	"579.245 597.101"
2014-05-16T10:15:48Z	3200	1620.5375	true	-1631495437018.852	1631495440259.927	ms	"1364.263 1876.812"
2014-05-16T10:15:48Z	6400	2259.3845	true	-239143222699.670	239143227218.439	ms	"2221.82 2296.949"
2014-05-16T10:15:48Z	12800	4493.6505	true	-1093621326049.914	1093621335037.215	ms	"4321.865 4665.436"
2014-05-16T10:15:48Z	25600	9236.757	true	-5221814172781.244	5221814191254.758	ms	"8416.517 10056.997"
2014-05-16T10:15:48Z	51200	18448.163500000002	true	-1363465550041.845	1363465586938.172	ms	"18233.991 18662.336"
2014-05-16T10:15:48Z	102400	36132.278999999995	true	-4038489834834.336	4038489907098.894	ms	"35497.915 36766.643"
2014-05-16T17:20:00Z	100	73.237	true	-149013708790.627	149013708937.101	ms	"49.83 96.644"
2014-05-16T17:20:00Z	200	102.3615	true	-1836649404.505	1836649609.228	ms	"102.073 102.65"
2014-05-16T17:20:00Z	400	162.6035	true	-18064100273.215	18064100598.422	ms	"159.766 165.441"
2014-05-16T17:20:00Z	800	309.246	true	-3323157550.665	3323158169.157	ms	"308.724 309.768"
2014-05-16T17:20:00Z	1600	598.7719999999999	true	-15552632833.724	15552634031.268	ms	"596.329 601.215"
2014-05-16T17:20:00Z	3200	1157.9875	true	-13811475809.593	13811478125.568	ms	"1155.818 1160.157"
2014-05-16T17:20:00Z	6400	2256.9835000000003	true	-70572538846.547	70572543360.514	ms	"2245.898 2268.069"
2014-05-16T17:20:00Z	12800	4284.862499999999	true	-123813090808.009	123813099377.734	ms	"4265.414 4304.311"
2014-05-16T17:20:00Z	25600	8624.996	true	-1093350758299.703	1093350775549.695	ms	"8453.253 8796.739"
2014-05-16T17:20:00Z	51200	17404.1205	true	-315989641514.679	315989676322.920	ms	"17354.485 17453.756"
2014-05-16T17:20:00Z	102400	32881.1165	true	-4201537841014.835	4201537906777.068	ms	"32221.141 33541.092"
